S.No,name,title,culture,dateOfBirth,mother,father,heir,house,spouse,book1_A_Game_Of_Thrones,book2_A_Clash_Of_Kings,book3_A_Storm_Of_Swords,book4_A_Feast_For_Crows,book5_A_Dance_with_Dragons,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,popularity,isAlive,name1,gender_guess
1018,Elron,,,,,,,Night's Watch,,0,1,1,1,1,,,,,0,0,,0,0.013377926,1,Elron,unknown
1019,Elinor Tyrell,,,286,,,,House Tyrell,,0,0,1,1,1,,,,,0,0,19,0,0.163879599,1,Elinor,unknown
1020,Elmar Frey,,,290,,,,House Frey,,1,1,1,1,1,,,,,0,0,15,0,0.066889632,1,Elmar,unknown
1021,Elwood,,,,,,,House Tully,,0,0,1,1,1,,,,,0,0,,0,0.016722408,0,Elwood,male
1022,Elwood Meadows,grassy vale,Reach,278,,,,House Meadows,,0,1,1,1,1,,,,,0,1,27,0,0.050167224,1,Elwood,unknown
1023,Elyana Vypren,,,264,,,,House Vypren,Jon Wylde,0,1,1,1,0,,,,1,1,0,41,0,0.160535117,1,Elyana,unknown
1024,Elyn Norridge,,,,,,,House Norridge,Luthor Tyrell,0,0,1,1,0,,,,1,1,0,,0,0.127090301,1,Elyn,unknown
1025,Emberlei Frey,,,296,,,,House Frey,,0,1,1,1,0,,,,,0,0,9,0,0.080267559,1,Emberlei,unknown
1026,Endrew Tarth,ser,,,,,,House Tarth,,1,1,1,0,0,,,,,0,1,,0,0.066889632,0,Endrew,unknown
1027,Eroeh,,Lhazareen,,,,,,,1,1,0,0,1,,,,,0,0,,0,0.033444816,0,Eroeh,unknown
1028,Eon Hunter,longbow hall,,,,,,House Hunter,,1,1,1,1,1,,,,,0,1,,0,0.046822742,0,Eon,unknown
1029,Ermesande Hayford,hayford,,298,,,,House Hayford,Tyrek Lannister,0,1,1,1,1,,,,0,1,1,7,0,0.113712375,1,Ermesande,unknown
1030,Erena Glover,,Northmen,297,,,,House Glover,,0,1,1,1,0,,,,,0,0,8,0,0.053511706,1,Erena,unknown
1031,Erren Florent,ser,,,,,,House Florent,,0,1,1,1,0,,,,,0,1,,0,0.086956522,1,Erren,unknown
1032,Eustace Brune,dyre den,,,,,,House Brune of the Dyre Den,,0,0,0,1,0,,,,,0,1,,0,0.016722408,1,Eustace,unknown
1033,Eustace Hunter,ser,,,,,,House Hunter,,0,0,0,1,1,,,,,0,1,,0,0.023411371,1,Eustace,unknown
1034,Eyron Stark,king in the north,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,1,,0,0.010033445,1,Eyron,unknown
1035,Ferrego Antaryon,sealord,Braavosi,,,,,,,0,0,0,1,1,,,,,0,1,,0,0.016722408,1,Ferrego,unknown
1036,Forley Prester,ser,,,,,,House Prester,,1,1,1,1,0,,,,,0,1,,0,0.063545151,1,Forley,unknown
1037,Franklyn Fowler,skyreach,Dornishmen,,,,,House Fowler,,0,0,0,1,1,,,,,0,1,,0,0.02006689,1,Franklyn,unknown
1038,Flement Brax,ser,,,,,,House Brax,Morya Frey,1,1,1,1,1,,,,1,1,1,,0,0.140468227,1,Flement,unknown
1039,Frenken,maester,,,,,,,,0,1,1,1,1,,,,,0,1,,0,0.043478261,1,Frenken,unknown
1040,Franklyn Frey,ser,Rivermen,,,,,House Frey,,0,0,0,0,0,,,,,0,1,,0,0.036789298,1,Franklyn,unknown
1041,Gareth Clifton,ser,,,,,,House Clifton,Jeyne Farman,0,0,0,1,0,,,,1,1,1,,0,0.013377926,1,Gareth,unknown
1042,Garrison Prester,feastfires,,,,,,House Prester,,0,0,0,1,1,,,,,0,1,,0,0.013377926,1,Garrison,unknown
1043,Garth of Greenaway,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0.030100334,0,Garth,unknown
1044,Garrett Flowers,,,,,,,House Tyrell,,1,1,1,1,1,,,,,0,0,,0,0.130434783,1,Garrett,unknown
1045,Garse Goodbrook,ser,,,,,,House Goodbrook,Kyra Frey,0,1,1,1,0,,,,1,1,1,,0,0.066889632,1,Garse,unknown
1046,Garse Flowers,,,,,,,House Tyrell,,1,1,1,1,1,,,,,0,0,,0,0.130434783,1,Garse,unknown
1047,Garth Greenfield,knight,Westerman,,,,,House Greenfield,,1,0,1,1,1,,,,,0,1,,0,0.030100334,1,Garth,unknown
1048,Garth Greyfeather,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0.050167224,0,Garth,unknown
1049,Gawen Swann,stonehelm,,152,,,,House Swann,,0,0,0,0,0,,,,,0,1,100,0,0.016722408,0,Gawen,unknown
1050,Gawen Glover,,Northmen,295,,,,House Glover,,0,1,1,1,0,,,,,0,0,10,0,0.046822742,1,Gawen,unknown
1051,Gawen Wylde,ser,,,,,,House Wylde,,0,1,0,0,0,,,,,0,1,,0,0.013377926,0,Gawen,unknown
1052,Garth Tyrell,lord seneschal,,,,,,House Tyrell,,1,1,1,1,1,,,,,0,1,,0,0.163879599,1,Garth,unknown
1053,Gendel,king-beyond-the-wall,Free Folk,,,,,,,0,1,1,0,0,,,,,0,1,,0,0.056856187,1,Gendel,unknown
1054,Gawen Westerling,crag,Westermen,,,,,House Westerling,Sybell Spicer,1,1,1,1,1,,,,1,1,1,,0,0.08361204,1,Gawen,unknown
1055,Gerald Gower,ser,,,,,,House Gower,,0,0,1,1,1,,,,,0,1,,0,0.023411371,1,Gerald,unknown
1056,Gerold Grafton,gulltown,,,,,,House Grafton,,0,0,0,1,1,,,,,0,1,,0,0.023411371,1,Gerold,unknown
1057,Gerardys,grand maester,,,,,,Blacks,,0,0,1,0,0,,,,,0,1,,0,0.023411371,0,Gerardys,unknown
1058,Gilbert Farring,ser,,,,,,House Farring,,0,0,1,1,1,,,,,0,1,,0,0.046822742,1,Gilbert,unknown
1059,Glendon Hewett,ser,,,,,,House Hewett,,0,0,1,1,1,,,,,0,1,,0,0.026755853,1,Glendon,unknown
1060,Gilwood Hunter,ser,,250,,,,House Hunter,,0,0,1,1,1,,,,,0,1,55,0,0.040133779,1,Gilwood,unknown
1061,Godric Borrell,sweetsister,Sistermen,,,,,House Borrell,,0,0,0,1,1,,,,,0,1,,0,0.086956522,1,Godric,unknown
1062,Goodwin,ser,,,,,,House Tarth,,0,0,0,1,0,,,,,0,1,,0,0.006688963,1,Goodwin,unknown
1063,Gormon Peake,starpike,,,,,,House Peake,,0,0,0,0,0,,,,,0,1,,0,0.060200669,0,Gormon,unknown
1064,Gorne,king-beyond-the-wall,Free Folk,,,,,,,0,1,1,0,0,,,,,0,1,,0,0.053511706,1,Gorne,unknown
1065,Gormon Tyrell,maester,,,,,,Citadel,,1,1,1,1,1,,,,,0,1,,0,0.153846154,1,Gormon,unknown
1066,Grazdan mo Eraz,,Ghiscari,,,,,Wise Masters,,0,0,1,1,1,,,,,0,0,,0,0.023411371,1,Grazdan,unknown
1067,Grazdan mo Ullhor,good master,Astapori,,,,,Good Masters,,0,0,1,0,0,,,,,0,1,,0,0.030100334,0,Grazdan,unknown
1068,Grazdar zo Galare,cupbearer,Ghiscari,,,,,House of Galare,,0,0,0,0,1,,,,,0,1,,0,0.010033445,1,Grazdar,unknown
1069,Grubbs,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0.02006689,0,Grubbs,unknown
1070,Gueren,,,,,,,Night's Watch,,1,1,1,1,0,,,,,0,0,,0,0.013377926,1,Gueren,unknown
1071,Guncer Sunglass,sweetport sound,,,,,,House Sunglass,,0,1,1,0,0,,,,,0,1,,0,0.040133779,0,Guncer,unknown
1072,Gulian Swann,stonehelm,,259,,,,House Swann,,0,1,1,0,0,,,,,0,1,46,0,0.033444816,1,Gulian,unknown
1073,Guthor Grimm,lord of greyshield,,,,,,House Grimm,,0,0,0,1,1,,,,,0,1,,0,0.016722408,1,Guthor,unknown
1074,Gunthor Hightower,ser,,,,,,House Hightower,Jeyne Fossoway,0,0,0,1,0,,,,1,1,1,,0,0.053511706,1,Gunthor,unknown
1075,Gyldayn,archmaester,,,,,,The Citadel,,0,0,0,0,0,,,,,0,1,,0,0.157190635,1,Gyldayn,unknown
1076,Gwayne Hightower,ser,,88,,,,House Hightower,,0,0,0,0,0,,,,,0,1,42,0,0.050167224,0,Gwayne,unknown
1077,Hairy Hal,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0.033444816,0,Hairy,unknown
1078,Hake,,,,,,,Night's Watch,,1,1,1,0,0,,,,,0,0,,0,0.026755853,0,Hake,unknown
1079,Halder,,,281,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,24,0,0.060200669,1,Halder,unknown
1080,Hallis Mollen,winterfell,Northmen,,,,,House Mollen,,1,1,1,1,0,,,,,0,1,,0,0.070234114,1,Hallis,unknown
1081,Halmon Paege,ser,,,,,,House Paege,,0,1,1,1,1,,,,,0,1,,0,0.016722408,1,Halmon,unknown
1082,Harbert,ser,,,,,,House Baratheon,,0,1,0,0,0,,,,,0,1,,0,0.023411371,1,Harbert,male
1083,Harlan Hunter,ser,,,,,,House Hunter,,1,0,0,1,1,,,,,0,1,,0,0.026755853,1,Harlan,unknown
1084,Harlen Tyrell,high steward of highgarden,Reach,,,,,House Tyrell,,1,0,0,0,0,,,,,0,1,,0,0.063545151,0,Harlen,unknown
1085,Harmond Umber,last hearth,Northmen,,,,,House Umber,,1,0,0,0,0,,,,,0,1,,0,0.016722408,1,Harmond,unknown
1086,Harmune,maester,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,1,,0,0.043478261,1,Harmune,unknown
1087,Harrold Westerling,ser,Westermen,,,,,House Westerling,,0,0,0,0,0,,,,,0,1,,0,0.27090301,0,Harrold,unknown
1088,Harwood Fell,felwood,,,,,,House Fell,,0,0,0,1,1,,,,,0,1,,0,0.030100334,0,Harwood,unknown
1089,Harwin Strong,ser,,90,,,,House Strong,,0,0,0,0,0,,,,,0,1,30,0,0.086956522,0,Harwin,unknown
1090,Harwood Stout,goldgrass,Northmen,,,,,House Stout,,0,0,0,1,1,,,,,0,1,,0,0.053511706,1,Harwood,unknown
1091,Harys Haigh,ser,,254,,,,House Haigh,,0,1,1,1,0,,,,,0,1,51,0,0.090301003,1,Harys,unknown
1092,Helman Tallhart,ser,Northmen,,,,,House Tallhart,,1,1,1,1,1,,,,,0,1,,0,0.130434783,0,Helman,unknown
1093,Lord Commander Hoare,lord commander of the night's watch,,,,,,House Hoare,,1,0,0,0,0,,,,,0,1,,0,0.060200669,1,Lord,unknown
1094,Hobber Redwyne,ser,Reach,,,,,House Redwyne,,1,1,1,1,1,,,,,0,1,,0,0.214046823,1,Hobber,unknown
1095,Hoarfrost Umber,last hearth,Northmen,,,,,House Umber,,0,0,0,0,1,,,,,0,1,,0,0.02006689,1,Hoarfrost,unknown
1096,Hosman Norcross,ser,,,,,,House Norcross,Delena Florent,0,1,1,1,0,,,,1,1,1,,0,0.076923077,1,Hosman,unknown
1097,Hoster Frey,,,287,,,,House Frey,,0,1,1,1,0,,,,,0,0,18,0,0.090301003,1,Hoster,unknown
1098,Horas Redwyne,ser,Reach,,,,,House Redwyne,,1,1,1,1,1,,,,,0,1,,0,0.217391304,1,Horas,unknown
1099,Hubard Rambton,ser,,,,,,House Rambton,,0,1,1,0,0,,,,,0,1,,0,0.02006689,0,Hubard,unknown
1100,Horton Redfort,redfort,Valemen,,,,,House Redfort,,0,0,1,1,1,,,,,0,1,,0,0.046822742,1,Horton,unknown
1101,Hotho Harlaw,tower of glimmering,Ironborn,,,,,House Harlaw of the Tower of Glimmering,,0,0,0,1,1,,,,,0,1,,0,0.076923077,1,Hotho,unknown
1102,Hugo Wull,big bucketthe wull,Northern mountain clans,,,,,House Wull,,0,0,0,1,1,,,,,0,1,,0,0.036789298,1,Hugo,unknown
1103,Hugor of the Hill,king of the andals,Andals,,,,,,,0,0,0,0,1,,,,,0,1,,0,0.050167224,1,Hugor,unknown
1104,Hugo Vance,ser,,,,,,House Vance of Atranta,,0,0,1,1,0,,,,,0,1,,0,0.026755853,1,Hugo,unknown
1105,Hullen,winterfell,Northmen,,,,,House Stark,,1,1,1,0,1,,,,,0,1,,0,0.060200669,0,Hullen,unknown
1106,Humfrey Beesbury,ser,,,,,,House Beesbury,,0,0,0,0,0,,,,,0,1,,0,0.026755853,0,Humfrey,unknown
1107,Humfrey Hardyng,ser,,,,,,House Hardyng,,0,0,0,0,0,,,,,0,1,,0,0.053511706,0,Humfrey,unknown
1108,Humfrey Swyft,ser,,,,,,House Swyft,,0,0,0,1,1,,,,,0,1,,0,0.010033445,1,Humfrey,unknown
1109,Humfrey Wagstaff,ser,,230,,,,House Wagstaff,,0,0,0,1,0,,,,,0,1,75,0,0.016722408,1,Humfrey,unknown
1110,Igon Vyrwel,,,,,,,House Vyrwel,,1,1,1,1,1,,,,,0,0,,0,0.026755853,1,Igon,unknown
1111,Jacks,,northmen,,,,,House Stark,,1,1,1,1,0,,,,,0,0,,0,0.033444816,1,Jacks,unknown
1112,Janei Lannister,,,296,,,,House Lannister,,1,1,1,1,1,,,,,0,0,9,0,0.100334448,1,Janei,unknown
1113,Jammos Frey,ser,,266,,,,House Frey,Sallei Paege,0,1,1,1,1,,,,1,1,1,39,0,0.090301003,1,Jammos,unknown
1114,Janna Tyrell,,,,,,,House Tyrell,Jon Fossoway,1,1,1,1,1,,,,1,1,0,,0,0.177257525,1,Janna,unknown
1115,Jaremy Rykker,first ranger,,,,,,Night's Watch,,1,1,1,0,1,,,,,0,1,,0,0.060200669,0,Jaremy,unknown
1116,Jarl,,Free Folk,,,,,,,0,0,1,1,1,,,,,0,0,,0,0.050167224,0,Jarl,male
1117,Jason Lannister,ser,,,,,,House Lannister,Johanna Lannister,0,0,0,0,0,,,,1,1,1,,0,0.046822742,0,Jason,unknown
1118,Jasper Arryn,eyrie,,,,,,House Arryn,,0,0,0,1,0,,,,,0,1,,1,0.043478261,1,Jasper,unknown
1119,Jasper Redfort,ser,Valemen,,,,,House Redfort,,0,0,0,1,1,,,,,0,1,,0,0.023411371,1,Jasper,unknown
1120,Jeren,,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0.02006689,1,Jeren,unknown
1121,Jeyne Arryn,eyrie,Vale,,,,,House Arryn,,0,0,0,0,0,,,,,0,1,,0,0.033444816,0,Jeyne,unknown
1122,Jeyne Beesbury,,,,,,,House Beesbury,Rhaegar Frey,0,1,1,1,0,,,,0,1,0,,0,0.060200669,1,Jeyne,unknown
1123,Jeyne Darry,,Westeros,,,,,House Darry,Cleos Frey,0,0,1,1,0,,,,0,1,0,,0,0.076923077,1,Jeyne,unknown
1124,Jeyne Goodbrook,,,293,,,,House Goodbrook,,0,1,1,1,0,,,,,0,0,12,0,0.063545151,1,Jeyne,unknown
1125,Jeyne Rivers,,,,,,,House Frey,,0,1,1,1,1,,,,,0,0,,0,0.02006689,1,Jeyne,unknown
1126,Jeyne Lydden,,,,,,,House Lydden,Stevron Frey,0,1,1,1,0,,,,0,1,0,,0,0.100334448,1,Jeyne,unknown
1127,Joffrey Lonmouth,ser,,99,,,,House Lonmouth,,0,0,0,0,0,,,,,0,1,15,0,0.023411371,0,Joffrey,unknown
1128,Joffrey Caswell,bitterbridge,,190,,,,House Caswell,,0,0,0,0,0,,,,,0,1,100,0,0.023411371,0,Joffrey,unknown
1129,Jon Bettley,ser,,,,,,House Bettley,,0,0,0,1,1,,,,,0,1,,0,0.016722408,1,Jon,unknown
1130,Jon Brax,,,296,,,,House Brax,,0,1,1,1,0,,,,,0,0,9,0,0.113712375,1,Jon,unknown
1131,Jon Lynderly,lord of the snakewood,,,,,,House Lynderly,,0,0,0,1,1,,,,,0,1,,0,0.023411371,1,Jon,unknown
1132,Jon Myre,,Ironborn,,,,,House Myre,,0,0,1,1,1,,,,,0,0,,0,0.023411371,1,Jon,unknown
1133,Jon Redfort,ser,Valemen,,,,,House Redfort,,0,0,0,1,1,,,,,0,1,,0,0.023411371,1,Jon,unknown
1134,Jon Wylde,ser,,,,,,House Wylde,Elyana Vypren,0,1,1,1,0,,,,1,1,1,,0,0.160535117,1,Jon,unknown
1135,Jonos Stark,king in the north,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,1,,0,0.010033445,1,Jonos,unknown
1136,Jonos Frey,,,291,,,,House Frey,,0,1,1,1,0,,,,,0,0,14,0,0.053511706,1,Jonos,unknown
1137,Jonnel Stark,winterfell,,,,,,House Stark,Robyn Ryswell,0,1,0,0,0,,,,1,1,1,,0,0.127090301,1,Jonnel,unknown
1138,Joramun,king-beyond-the-wall,Free Folk,,,,,,,0,1,1,0,0,,,,,0,1,,0,0.063545151,1,Joramun,unknown
1139,Jorah Stark,king in the north,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,1,,0,0.010033445,1,Jorah,unknown
1140,Jonothor Darry,ser,,,,,,House Darry,,0,0,1,1,0,,,,,0,1,,1,0.046822742,0,Jonothor,unknown
1141,Jorelle Mormont,,Northmen,278,,,,House Mormont,,0,0,0,1,1,,,,,0,0,27,0,0.040133779,1,Jorelle,unknown
1142,Jyana,,Crannogmen,,,,,House Reed,Howland Reed,0,0,0,1,1,,,,1,1,0,,0,0.02006689,1,Jyana,unknown
1143,Joy Hill,,,288,,,,House Lannister,,1,1,1,1,1,,,,,0,0,17,0,0.10367893,1,Joy,unknown
1144,Jyanna Frey,,,,,,,House Frey,Benfrey Frey,0,1,1,1,0,,,,0,1,0,,0,0.050167224,1,Jyanna,unknown
1145,Kaeth,grand maester,,175,,,,,,0,0,1,1,0,,,,,0,1,82,0,0.260869565,0,Kaeth,unknown
1146,Jynessa Blackmont,,Dornish,,,,,House Blackmont,,0,0,1,1,0,,,,,0,0,,0,0.02006689,1,Jynessa,unknown
1147,Karlon Stark,karl's hold,Northmen,,,,,House Stark,,0,0,1,0,0,,,,,0,1,,0,0.016722408,1,Karlon,unknown
1148,Kedge Whiteye,,,251,,,,Night's Watch,,0,1,1,1,1,,,,,0,0,54,0,0.036789298,1,Kedge,unknown
1149,Kennos of Kayce,ser,,,,,,House Kenning of Kayce,,0,0,1,1,1,,,,,0,1,,0,0.033444816,1,Kennos,unknown
1150,Kezmya,cupbearer,Ghiscari,,,,,House of Pahl,,0,0,0,0,1,,,,,0,1,,0,0.016722408,1,Kezmya,unknown
1151,Kyra,,,280,,,,House Stark,,1,1,0,1,1,,,,,0,0,20,0,0.053511706,0,Kyra,female
1152,Kyra Frey,,,262,,,,House Frey,Garse Goodbrook,0,1,1,1,0,,,,1,1,0,43,0,0.066889632,1,Kyra,unknown
1153,Lambert Turnberry,ser,,,,,,House Turnberry,,0,0,0,1,1,,,,,0,1,,0,0.016722408,1,Lambert,unknown
1154,Lark,,Sistermen,,,,,Night's Watch,,0,1,1,0,0,,,,,0,0,,0,0.040133779,0,Lark,unknown
1155,Larence Snow,,Northmen,286,,,,House Hornwood,,0,1,1,1,0,,,,,0,0,19,0,0.060200669,1,Larence,unknown
1156,Larra Blackmont,blackmont,Dornish,,,,,House Blackmont,,0,0,1,1,1,,,,,0,1,,0,0.026755853,1,Larra,unknown
1157,Lanna Lannister,,,,,,,House Lannister,Antario Jast,0,0,1,1,1,,,,1,1,0,,0,0.073578595,1,Lanna,unknown
1158,Leathers,master-at-arms,Wildling,259,,,,Night's Watch,,0,0,0,0,1,,,,,0,1,46,0,0.050167224,1,Leathers,unknown
1159,Left Hand Lew,,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0.016722408,1,Left,unknown
1160,Leo Lefford,golden tooth,,,,,,House Lefford,,1,1,1,1,1,,,,,0,1,,0,0.056856187,0,Leo,unknown
1161,Leo Blackbar,ser,,,,,,House Blackbar,Olene Tyrell,0,0,1,1,0,,,,1,1,1,,0,0.127090301,1,Leo,unknown
1162,Leona Woolfield,,,,,,,House Woolfield,Wylis Manderly,0,0,0,1,1,,,,1,1,0,,0,0.046822742,1,Leona,unknown
1163,Leonette Fossoway,lady,,,,,,House Fossoway,Garlan Tyrell,0,0,1,1,1,,,,1,1,1,,0,0.173913043,1,Leonette,unknown
1164,Leonella Lefford,,,,,,,House Lefford,Lothar Frey,0,1,1,1,0,,,,1,1,0,,0,0.080267559,1,Leonella,unknown
1165,Lester Morrigen,lord of crows nest,,,,,,House Morrigen,,0,0,1,1,1,,,,,0,1,,0,0.023411371,1,Lester,unknown
1166,Lewys the Fishwife,,,,,,,House Baratheon of Dragonstone,,0,0,0,0,0,,,,,0,0,,0,0,1,Lewys,unknown
1167,Lewys Lydden,lord of the deep den,,,,,,House Lydden,,1,1,1,1,1,,,,,0,1,,0,0.036789298,1,Lewys,unknown
1168,Leslyn Haigh,ser,,,,,,House Haigh,Perriane Frey,0,1,1,1,1,,,,1,1,1,,0,0.086956522,1,Leslyn,unknown
1169,Lomas Estermont,ser,Stormlands,,,,,House Estermont,,0,1,1,1,1,,,,,0,1,,0,0.033444816,1,Lomas,unknown
1170,Lorent Marbrand,ser,Westerman,,,,,House Marbrand,,0,0,0,0,0,,,,,0,1,,0,0.073578595,0,Lorent,unknown
1171,Loreza Sand,,Dorne,293,,,,House Martell,,0,0,1,1,1,,,,,0,0,12,1,0.107023411,1,Loreza,unknown
1172,Lothar Mallery,lord,,,,,,House Mallery,,1,0,1,0,0,,,,,0,1,,0,0.016722408,0,Lothar,unknown
1173,Lucas Corbray,ser,,,,,,House Corbray,,0,0,0,1,1,,,,,0,1,,0,0.013377926,1,Lucas,unknown
1174,Lucas Codd,,Ironborn,,,,,House Codd,,0,0,0,1,1,,,,,0,0,,0,0.023411371,1,Lucas,unknown
1175,Luceon Frey,septon,,249,,,,Faith of the Seven,,0,1,1,1,1,,,,,0,0,56,0,0.076923077,1,Luceon,unknown
1176,Lucias Vypren,lord,,,,,,House Vypren,Lythene Frey,0,1,1,1,1,,,,1,1,1,,0,0.163879599,1,Lucias,unknown
1177,Lucos Chyttering,lord,,283,,,,House Chyttering,,0,0,1,1,0,,,,,0,1,22,0,0.02006689,1,Lucos,unknown
1178,Lucion Lannister,ser,,,,,,House Lannister,,0,0,1,1,1,,,,,0,1,,0,0.066889632,1,Lucion,unknown
1179,Luthor Tyrell,lord paramount of the mander,Reach,,,,,House Tyrell,Olenna Redwyne,0,0,1,0,0,,,,1,1,1,,1,0.170568562,1,Luthor,unknown
1180,Lyanna Mormont,,Northmen,290,,,,House Mormont,,0,0,0,1,1,,,,,0,0,15,1,0.056856187,1,Lyanna,unknown
1181,Lyessa Flint,widow's watch,Northmen,,,,,House Flint of Widow's Watch,,0,1,1,1,1,,,,,0,1,,0,0.036789298,1,Lyessa,unknown
1182,Lyman Beesbury,master of coin,,48,,,,House Beesbury,,0,0,0,0,0,,,,,0,1,81,0,0.260869565,0,Lyman,unknown
1183,Lymond Goodbrook,lord,,,,,,House Goodbrook,,0,0,1,1,1,,,,,0,1,,0,0.026755853,1,Lymond,unknown
1184,Lyman Darry,lord of darry,,290,,,,House Darry,,1,1,0,0,0,,,,,0,1,9,0,0.056856187,0,Lyman,unknown
1185,Lymond Lychester,castle lychester,Rivermen,,,,,House Lychester,,0,0,1,1,0,,,,,0,1,,0,0.023411371,1,Lymond,unknown
1186,Lymond Vikary,ser,,,,,,House Vikary,,0,1,1,1,1,,,,,0,1,,0,0.026755853,1,Lymond,unknown
1187,Lyonel Selmy,ser,,,,,,House Selmy,,0,0,1,0,0,,,,,0,1,,0,0.016722408,1,Lyonel,unknown
1188,Aggo,,Dothraki,,,,,House Targaryen,,1,1,1,1,1,,,,,0,0,,0,0.133779264,1,Aggo,unknown
1189,Alys Karstark,,Northmen,284,,,,House Karstark,Sigorn,0,0,1,1,1,,,,1,1,0,21,0,0.157190635,1,Alys,unknown
1190,Cleos Frey,ser,,258,,,,House Frey,Jeyne Darry,1,1,1,1,1,,,,1,1,1,41,0,0.247491639,0,Cleos,unknown
1191,Dontos Hollard,ser,,261,,,,House Hollard,,1,1,1,1,0,,,,,0,1,39,0,0.230769231,0,Dontos,unknown
1192,Craster,,Free Folk,,,,,,,0,1,1,1,1,,,,,0,0,,0,0.170568562,0,Craster,unknown
1193,Dale Seaworth,wraith,,,,,,House Seaworth,,0,1,1,1,1,,,,,0,1,,0,0.070234114,0,Dale,unknown
1194,Denys Mallister,ser,,245,,,,House Mallister,,1,1,1,1,1,,,,,0,1,60,0,0.130434783,1,Denys,unknown
1195,Edric Storm,,,287,,,,House Baratheon,,1,1,1,1,1,,,,,0,0,18,0,0.284280936,1,Edric,unknown
1196,Hosteen Frey,ser,,249,,,,House Frey,Bellena Hawick,1,1,1,1,1,,,,1,1,1,56,0,0.274247492,1,Hosteen,unknown
1197,Lyonel Corbray,heart's home,,260,,,,House Corbray,,0,0,0,1,1,,,,,0,1,45,0,0.080267559,1,Lyonel,unknown
1198,Lyonel Frey,ser,,259,,,,House Frey of Riverrun,Melesa Crakehall,0,1,1,1,1,,,,1,1,1,46,0,0.063545151,1,Lyonel,unknown
1199,Lyonel Strong,harrenhal,,,,,,House Strong,1st: unknown2nd: unknown3rd: unknown,0,0,0,0,0,,,,1,1,1,,0,0.334448161,0,Lyonel,unknown
1200,Lythene Frey,,,251,,,,House Frey,Lucias Vypren,0,1,1,1,1,,,,1,1,0,54,0,0.160535117,1,Lythene,unknown
1201,Lyra Mormont,,Northmen,277,,,,House Mormont,,0,0,0,1,1,,,,,0,0,28,0,0.040133779,1,Lyra,unknown
1202,Maegelle Frey,,,249,,,,House Frey,Dafyn Vance,0,1,1,1,0,,,,1,1,0,56,0,0.107023411,1,Maegelle,unknown
1203,Mallador Locke,ser,,,,,,Night's Watch,,0,1,1,0,0,,,,,0,1,,0,0.026755853,0,Mallador,unknown
1204,Malwyn Frey,,,284,,,,House Frey,,0,1,1,1,0,,,,,0,0,21,0,0.137123746,1,Malwyn,unknown
1205,Manfrey Martell,ser,Dornishmen,,,,,House Martell,,0,0,0,1,1,,,,,0,1,,0,0.023411371,1,Manfrey,unknown
1206,Margot Lannister,starpike,,,,,,House Lannister,Titus Peake,0,0,1,1,1,,,,1,1,1,,0,0.02006689,1,Margot,unknown
1207,Maric Seaworth,oarmaster,,,,,,House Seaworth,,0,1,1,1,1,,,,,0,1,,0,0.063545151,0,Maric,unknown
1208,Marianne Vance,,,262,,,,House Vance,,0,1,1,1,0,,,,,0,0,43,0,0.10367893,1,Marianne,unknown
1209,Mariya Darry,,,,,,,House Darry,Merrett Frey,0,1,1,1,0,,,,0,1,0,,0,0.190635452,1,Mariya,unknown
1210,Marissa Frey,,,286,,,,House Frey,,0,1,1,1,0,,,,,0,0,19,0,0.160535117,1,Marissa,unknown
1211,Maron Martell,prince of dorne,Dornish,,,,,House Martell,Daenerys Targaryen,0,0,0,1,1,,,,1,1,1,,5,0.036789298,1,Maron,unknown
1212,Maron Volmark,volmark,Ironborn,283,,,,House Volmark,,0,0,1,1,1,,,,,0,1,22,0,0.043478261,1,Maron,unknown
1213,Marq Rankenfell,lord commander of the night's watch,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,1,,0,0.050167224,1,Marq,unknown
1214,Marsella Waynwood,,,,,,,House Waynwood,Stevron Frey,0,1,1,1,0,,,,0,1,0,,0,0.096989967,1,Marsella,unknown
1215,Matarys Targaryen,prince,,184,,,,House Targaryen,,0,0,0,0,0,,,,,0,1,25,0,0.100334448,0,Matarys,unknown
1216,Martyn Rivers,,,,,,,House Frey,,1,1,1,1,1,,,,,0,0,,0,0.030100334,1,Martyn,unknown
1217,Martyn Lannister,,,285,,,,House Lannister,,0,1,1,1,1,,,,,0,0,20,5,0.137123746,1,Martyn,unknown
1218,Marwyn Belmore,ser,,,,,,House Belmore,,0,1,1,1,0,,,,,0,1,,0,0.023411371,1,Marwyn,unknown
